ID,study.area,zone,sector,subsector,total.lithics,area.sqm,assemblage,predicted.period,MP_ubiq,UP_ubiq,EPI_ubiq,MESO_ubiq,ENEOL_ubiq,LNEOL_ubiq,density.km2,MP_int,UP_int,EPI_int,MESO_int,ENEOL_int,LNEOL_int
134,Cocina/Catadau,0,7,8,1,1184.187012,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,8.444612125166594e-7,1.832030560899677e-12,5.8624977948789665e-12,3.664061121799354e-11,4.1874984249135473e-11,5.862497794878967e-11,1.2213537072664514e-10
135,Cocina/Catadau,0,7,8,1,7564.463135,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.3219708816784392e-7,2.867971932821737e-13,9.17751018502956e-13,5.735943865643475e-12,6.555364417878257e-12,9.177510185029559e-12,1.911981288547825e-11
136,Cocina/Catadau,0,7,8,16,19646.2439,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,8.144050374942153e-7,1.766824687179597e-12,5.65383899897471e-12,3.533649374359194e-11,4.038456427839079e-11,5.6538389989747103e-11,1.1778831247863979e-10
137,Cocina/Catadau,0,7,8,3,4429.570557,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,6.772665569711118e-7,1.4693073072576455e-12,4.7017833832244655e-12,2.938614614515291e-11,3.35841670230319e-11,4.7017833832244657e-11,9.795382048384303e-11
139,Cocina/Catadau,0,7,8,3,703.4987793,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,4.264399723600203e-6,9.251473604388411e-12,2.9604715534042913e-11,1.8502947208776822e-10,2.1146225381459226e-10,2.9604715534042915e-10,6.167649069592274e-10
140,Cocina/Catadau,0,7,8,1,453.668457,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,2.2042528735913415e-6,4.7820534188130095e-12,1.5302570940201633e-11,9.56410683762602e-11,1.0930407814429737e-10,1.530257094020163e-10,3.188035612542007e-10
141,Cocina/Catadau,0,7,8,16,3481.381104,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,4.595877188399883e-6,9.970602957828762e-12,3.190592946505204e-11,1.9941205915657525e-10,2.2789949617894313e-10,3.1905929465052037e-10,6.647068638552509e-10
142,Cocina/Catadau,0,7,8,5,1623.151367,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,3.0804274337280583e-6,6.6828850343582064e-12,2.138523210994626e-11,1.3365770068716414e-10,1.5275165792818757e-10,2.138523210994626e-10,4.4552566895721373e-10
145,Cocina/Catadau,0,7,8,2,2414.682617,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,8.282662019097145e-7,1.796896023130209e-12,5.750067274016669e-12,3.593792046260418e-11,4.107190910011906e-11,5.750067274016669e-11,1.197930682086806e-10
156,Cocina/Catadau,0,7,5,1,11136.26172,Cocina/Catadau-0-7-5,ENEOL,0.09598723463183007,0.2801271525417096,0.031004603729603713,0.06789488508223804,0.41328460239107284,0.11170152162354584,8.979674015779148e-8,1.077417595837426e-11,1.0061802051171965e-10,6.960280862006293e-11,1.7419255296493836e-10,1.4844644020850934e-9,8.358693760382893e-10
